ID_REF,GSM3586432,GSM3586433,GSM3586434,GSM3586435
SCTR,3.676508079,2.913733794,3.298924118,2.862592647
3110009E18RIK,5.149295668,4.526669557,5.127455341,4.068608471
C1QL2,2.515604979,2.497130292,2.717425322,2.784191486
EN1,2.136124159,1.961375491,1.992157119,1.899843373
CCDC93,4.117535614,4.019707453,3.752831981,3.968273351
DPP10,1.957614284,1.982456734,1.916056119,2.003502676
SLC35F5,4.954419494,5.361679853,5.01465376,5.175201842
GPR39,3.294263742,4.19286964,3.294263742,3.404187261
MGAT5,3.820447816,4.545966935,3.77515093,5.093818294
ACMSD,2.38638603,2.151875287,2.13038097,2.007649737
CCNT2,5.022698514,4.789942102,5.123153123,5.176674011
RAB3GAP1,3.905793051,3.387942685,3.730003777,3.605110374
RPL28,9.253479166,10.16518979,9.187130848,9.857795589
R3HDM1,6.098744288,6.531373032,6.750908237,6.428776028
MIR128-1,3.552088868,3.075597594,3.046884024,2.758489746
UBXN4,6.992524984,6.949613047,7.260666455,7.15182982
THSD7B,2.15896076,2.041909894,2.551275012,2.257489994
YOD1,3.375713967,3.324638918,3.527646121,3.389332269
AA986860,2.275085829,2.7223096,2.380342307,2.149195643
FCAMR,2.201095292,2.184045204,1.955627892,2.021733279
PIGR,2.565647864,2.192118861,2.481980169,2.357047157
FAIM3,4.25324466,2.917274366,5.286416477,3.141753731
IL10,2.275820057,2.184445434,1.912919746,2.179160023
LGTN,5.175812434,4.64920512,4.748463643,4.381337588
FAM72A,2.101661138,2.236694178,1.969043589,2.072297886
AVPR1B,2.209649435,2.173394873,1.808829287,1.62261241
CTSE,3.753202247,4.3448608,4.87128481,5.843478943
5430435G22RIK,3.163317447,4.662908671,3.576293009,4.59474484
SLC26A9,1.883603788,1.77191572,1.992175573,1.71058994
PM20D1,2.113260382,1.736039785,2.437609168,1.882995441
SLC41A1,3.838714912,4.538036534,3.592071476,4.234571832
RAB7L1,4.732109477,5.256725742,4.699978822,5.169771742
NUCKS1,6.525268752,6.37553916,5.839236096,6.394582
SLC45A3,2.666460882,3.017817458,2.722982875,2.97887964
ELK4,5.540918054,5.524530306,5.359077018,5.653941036
LEMD1,2.003704714,1.723177182,2.280064883,1.874347234
MIR135B,1.829562699,1.583049844,2.190509566,1.365780207
GM7241,2.114362004,2.050175902,2.080577306,2.168143074
KLHDC8A,2.405165251,2.226750204,2.506777987,2.199717408
NUAK2,2.587797903,3.547284369,3.01130544,4.533527889
DSTYK,3.586111803,3.347150254,3.490572166,4.012540911
RBBP5,3.98110415,4.542256325,4.106035325,4.017980086
TMEM81,2.037362257,1.835281319,1.991380956,1.930604249
GM10538,3.254472305,3.0378318,3.147946572,2.877536012
LRRN2,2.950095471,2.641164259,2.78017837,2.579978124
GM7246,4.421799383,5.423062986,5.342426936,5.221457258
PIK3C2B,4.483905027,3.836433062,4.220444078,3.490830045
PPP1R15B,4.771620589,5.107084394,5.435104367,5.41918856
PLEKHA6,3.468383855,3.307798416,3.203284794,3.063759277
GOLT1A,2.47698936,1.996113987,2.592401261,2.280522169
KISS1,2.836523394,2.709024259,2.39059958,2.53547595
REN1,3.121776845,2.851227616,2.499424256,2.232103784
ETNK2,1.792618402,1.724515473,1.732894998,1.646057503
GM10537,2.450880255,2.966542603,3.25017545,2.697956096
FMOD,5.12912866,5.763067904,4.727664467,3.328593659
GM8618,3.304246331,2.757441334,2.290936055,2.416209418
CHIT1,1.874471352,1.615208227,1.644975626,1.721777215
CHI3L1,3.213798639,2.834747069,3.625882363,4.895472894
